Ambiente,Clon,pH,matOrg,Fosforo,Aluminio,Potasio,Calcio,Magnesio,Sodio,Repeticion,indiceMazorca,indiceGrano,fenolesTot,actAntxd,porcAceite,acPalmitico,acEstearico,acOleico,acLinoleico,porcCenizas,rT_C,Catequina,Epicatequina
Huila,FSV 41,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,3,14,1.613,23.8,962.516,39.435,29.874,29.828,35.24,3.426,3.844,2.930850229,9.055,39.696
Huila,ICS 95,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,22,1.175,26.131,1158.591,42.18,29.358,30.364,35.204,3.578,3.824,3.073942432,4.39,13.845
Huila,ICS 95,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,2,22,1.175,26.459,1142.425,41.235,29.327,30.389,35.217,3.584,4.327,3.041699023,4.191,13.03
Huila,ICS 95,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,3,22,1.175,26.473,1152.683,41.708,29.33,30.355,35.227,3.592,3.845,3.015937234,4.291,13.437
Huila,SCC 23,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,30,0.98,30.659,1862.89,44.393,27.398,31.66,35.873,3.543,5.399,4.620441851,8.193,48.427
Huila,SCC 23,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,2,30,0.98,31.481,1879.051,45.846,27.406,31.693,35.922,3.572,3.663,4.672517829,7.874,44.67
Huila,SCC 23,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,3,30,0.98,31.873,1855.118,45.12,27.35,31.727,35.886,3.519,4.154,4.673400475,8.034,46.549
Huila,SCC 55,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,24,1.11,33.479,1954.423,43.008,27.789,31.914,34.701,4.155,3.679,4.516137633,2.426,17.321
Huila,SCC 55,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,2,24,1.11,33.425,2032.451,41.813,27.79,31.911,34.759,4.179,4.254,4.682384371,2.483,17.797
Huila,SCC 55,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,3,24,1.11,31.908,1932.892,42.41,27.76,31.901,34.729,4.17,4.215,4.849645704,2.454,17.559
Huila,SCC 80,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,27,1.01,24.398,1118.79,44.596,27.717,31.061,35.464,4.243,4.147,4.557826439,2.377,15.617
Huila,SCC 80,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,2,27,1.01,24.643,1115.523,45.813,27.631,31.087,35.451,4.216,4.269,4.394138362,2.379,15.651
Huila,SCC 80,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,3,27,1.01,23.393,1091.041,45.204,27.657,31.104,35.493,4.229,5.358,4.696275815,2.378,15.634
Arauca,CCN 51,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,1,15,1.37,22.209,2164.485,36.613,29.938,33.161,31.688,3.286,5.531,8.462819766,4.458,25.196
Arauca,CCN 51,4.3,2.1,43,0.2,0.56,6.2,2.7,0.4,2,15,1.37,22.994,2152.235,35.482,29.733,33.326,31.799,3.244,5.324,8.504690437,4.743,26.036
