"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5","Dim 6","Dim 7"
"Tridecano_0",0.00253405271431554,0.0254846953860349,0.218875389767587,0.240750176431995,0.0143496189348863,0.165858320143478,0.0454747186874867
"Tridecano_1",0.00253405271431555,0.0254846953860348,0.218875389767586,0.240750176431995,0.0143496189348863,0.165858320143478,0.0454747186874867
"2,5-Dimentil pirazina_0",0.10843405477206,0.0245343320356622,0.0206939726935975,0.0963193697544547,0.0915615806720785,0.00521687260202578,0.0216406064605093
"2,5-Dimentil pirazina_1",0.10843405477206,0.0245343320356622,0.0206939726935975,0.0963193697544547,0.0915615806720786,0.00521687260202576,0.0216406064605092
"2,3-Dimetil pirazina_0",0.147614762009614,0.207363198403489,0.00885139125268453,0.0000122186651293448,0.000411130159379665,0.110200319049967,0.0333726513049581
"2,3-Dimetil pirazina_1",0.147614762009614,0.207363198403489,0.00885139125268452,0.0000122186651293454,0.00041113015937966,0.110200319049967,0.033372651304958
"3-Hidroxi-2-butanona_0",0.00759280700714441,0.000292481614126876,0.399648660560815,0.048609855407807,0.0140341659523165,0.00841121542545964,0.0524938374013251
"3-Hidroxi-2-butanona_1",0.00759280700714442,0.000292481614126877,0.399648660560815,0.048609855407807,0.0140341659523165,0.00841121542545964,0.0524938374013252
"1-Etoxi 2-propanol_0",0.0201362017164123,0.00713974385508069,0.0728795691541887,0.140357028943645,0.016314544031925,0.308316537439088,0.0139148616006803
"1-Etoxi 2-propanol_1",0.0201362017164122,0.00713974385508066,0.0728795691541886,0.140357028943645,0.016314544031925,0.308316537439088,0.0139148616006803
"2-Nonanona_0",0.0681445215384277,0.0621761159489581,0.0160141793981603,0.0406807680048145,0.0923338136374924,0.00190439692198581,0.179154739837222
"2-Nonanona_1",0.0681445215384277,0.0621761159489581,0.0160141793981603,0.0406807680048145,0.0923338136374924,0.00190439692198581,0.179154739837222
"Tetrametilpirazina_0",0.296792113407647,0.00173853696542219,0.00416661208833868,0.271332546895184,0.0052750655832094,0.0194701819088287,0.126586866781008
"Tetrametilpirazina_1",0.296792113407647,0.00173853696542218,0.00416661208833868,0.271332546895184,0.00527506558320939,0.0194701819088287,0.126586866781008
"2 Octanol_0",0.120154744798073,0.0835432506770871,0.0475831768703722,0.10553980033029,0.0818205342434309,0.103362863437989,0.000378077976748024
"2 Octanol_1",0.120154744798073,0.0835432506770871,0.0475831768703721,0.10553980033029,0.0818205342434309,0.103362863437989,0.000378077976748022
"2, 3, 5-trimetil pirazina_0",0.0237844917769057,0.273554240212815,0.379560000826191,0.0312646786410062,0.0937484575068898,0.016440582729116,0.0348460838917205
"2, 3, 5-trimetil pirazina_1",0.0237844917769058,0.273554240212815,0.379560000826191,0.0312646786410063,0.0937484575068897,0.016440582729116,0.0348460838917205
"Furfural_0",0.236853367333764,0.107930266725041,0.0332445486828743,0.0319340772066285,0.141639864063698,0.0133079138799403,0.00756988929941755
"Furfural_1",0.236853367333764,0.10793026672504,0.0332445486828744,0.0319340772066285,0.141639864063698,0.0133079138799403,0.00756988929941757
"Benzotiazol_0",0.0102392137521659,0.0714904868891173,0.15094422198671,0.0509453198404839,0.0446646901461125,0.138484837398756,0.20103212895848
"Benzotiazol_1",0.010239213752166,0.0714904868891172,0.15094422198671,0.0509453198404839,0.0446646901461125,0.138484837398755,0.20103212895848
"Benzaldehído_0",0.00843843635977925,0.364169103044828,0.103157298182209,0.0710419398217264,0.0553200265673231,0.000324091787285948,0.0039389352958566
"Benzaldehído_1",0.00843843635977922,0.364169103044828,0.103157298182209,0.0710419398217263,0.0553200265673231,0.00032409178728595,0.0039389352958566
"Ácido 3-metilbutanoico_0",0.0113093845299804,0.206621962444838,0.0837098336633858,0.00112660304172297,0.0450447066691996,0.0301116716292837,0.0505986144291481
"Ácido 3-metilbutanoico_1",0.0113093845299804,0.206621962444838,0.0837098336633858,0.00112660304172297,0.0450447066691996,0.0301116716292837,0.0505986144291481
"2 Furanmetanol_0",0.107636152339439,0.0124078377091898,0.0521385689061702,0.0085637536465567,0.416633328426818,0.0294920817109561,0.0995730223260421
"2 Furanmetanol_1",0.107636152339439,0.0124078377091898,0.0521385689061702,0.00856375364655672,0.416633328426819,0.0294920817109561,0.0995730223260419
"3-Metil-butanoico_0",0.0347405989465754,0.343458971273103,0.121213440560834,0.000307143823129235,0.067214456003225,0.00557001912285637,0.0658471897959815
"3-Metil-butanoico_1",0.0347405989465754,0.343458971273103,0.121213440560834,0.000307143823129239,0.067214456003225,0.00557001912285638,0.0658471897959816
"Butirolactona_0",0.0915413315127819,0.0470691082071802,0.0133892935491405,0.0276852663881992,0.110328545672579,0.0148322493066296,0.18454259868933
"Butirolactona_1",0.091541331512782,0.0470691082071803,0.0133892935491405,0.0276852663881992,0.110328545672579,0.0148322493066296,0.18454259868933
"Ácido benzóico_0",0.189378342574807,0.107257191843344,0.120847112485095,0.0281047994593371,0.00170208589865229,0.0266592851872106,0.0786805667800086
"Ácido benzóico_1",0.189378342574807,0.107257191843344,0.120847112485095,0.0281047994593371,0.00170208589865228,0.0266592851872106,0.0786805667800087
"Oxime metoxifenil_0",0.161879979018958,0.175673126677183,0.0285475777795778,0.00386302445627111,0.120419425567811,0.0923287472646451,0.000446249756199835
"Oxime metoxifenil_1",0.161879979018958,0.175673126677183,0.0285475777795778,0.00386302445627111,0.120419425567811,0.0923287472646451,0.000446249756199838
"Epoxi linalol_0",0.233714446868891,0.108950303027471,0.0247283451222726,0.00861286172169616,0.163714840079898,0.104776872838855,0.0035616811039675
"Epoxi linalol_1",0.233714446868891,0.108950303027471,0.0247283451222726,0.00861286172169616,0.163714840079898,0.104776872838855,0.0035616811039675
"Ácido Bencenoacético_0",0.00015192002468245,0.488553817625339,0.0201299748916007,0.0205535217091117,0.000263088732896749,0.0901977081485896,0.0845578399642612
"Ácido Bencenoacético_1",0.000151920024682452,0.488553817625339,0.0201299748916007,0.0205535217091117,0.000263088732896749,0.0901977081485895,0.0845578399642612
"Metanol benceno_0",0.0536712981954577,0.0182570540218238,0.0120580153961184,0.0253487184099984,0.00791949958803628,0.142455848979858,0.110510124447129
"Metanol benceno_1",0.0536712981954577,0.0182570540218238,0.0120580153961184,0.0253487184099984,0.00791949958803631,0.142455848979858,0.110510124447129
"Éster 2-Feniletílico del Acido Acético_0",0.0883679492234317,0.0296627622408014,0.318464998522018,0.0702259995667484,0.0636301649849733,0.00457184706396815,0.0996119663946822
"Éster 2-Feniletílico del Acido Acético_1",0.0883679492234317,0.0296627622408014,0.318464998522018,0.0702259995667485,0.0636301649849732,0.00457184706396815,0.0996119663946822
"4 dimetil pentanoico Ácido_0",0.158342310515749,0.00000907940012332055,0.195643894853385,0.0185954997844428,0.0182832243914527,0.00762384007582127,0.0900253447390598
"4 dimetil pentanoico Ácido_1",0.158342310515749,0.00000907940012332035,0.195643894853385,0.0185954997844428,0.0182832243914526,0.00762384007582126,0.0900253447390597
"Éster etílico del ácido hexanoico_0",0.166545245286544,0.123063538777775,0.335861291727932,0.0391435317400438,0.0137763465805654,0.0150401433896637,0.00757676632386949
"Éster etílico del ácido hexanoico_1",0.166545245286544,0.123063538777775,0.335861291727932,0.0391435317400438,0.0137763465805654,0.0150401433896637,0.00757676632386948
"Alcohol bencílico_0",0.294032438632279,0.0320804222710197,0.00835412545079774,0.118986935944115,0.00882291122433791,0.0577339838672755,0.0358852392379778
"Alcohol bencílico_1",0.294032438632279,0.0320804222710197,0.00835412545079773,0.118986935944115,0.00882291122433791,0.0577339838672755,0.0358852392379777
"Fenil alcohol etílico_0",0.615197408321572,0.00226534758346942,0.00161913468084502,0.015338678384613,0.00156935497021718,0.048748456785027,0.0566470255823569
"Fenil alcohol etílico_1",0.615197408321572,0.00226534758346942,0.00161913468084503,0.015338678384613,0.00156935497021719,0.048748456785027,0.0566470255823567
"Benzaldehído_0",0.00211306358728489,0.053054510770297,0.00715035414429956,0.475899022423608,0.166136244442719,0.0322868134258923,0.00502497533342085
"Benzaldehído_1",0.00211306358728487,0.053054510770297,0.00715035414429956,0.475899022423608,0.166136244442719,0.0322868134258923,0.00502497533342084
"1H-pirrol-2-carboxaldehído_0",0.474905533466506,0.00252704145456786,0.00146708556719752,0.0872933422463277,0.00988884748811695,0.0312190413662148,0.0810460623099041
"1H-pirrol-2-carboxaldehído_1",0.474905533466506,0.00252704145456785,0.00146708556719752,0.0872933422463277,0.00988884748811695,0.0312190413662148,0.0810460623099042
"Ácido octanoico_0",0.0106962249395043,0.0451373051678446,0.0640194450984922,0.00762107031943791,0.00024266967044461,0.0465909961021572,0.463378903497011
"Ácido octanoico_1",0.0106962249395043,0.0451373051678445,0.0640194450984923,0.0076210703194379,0.00024266967044461,0.0465909961021572,0.46337890349701
"Ácido nonanoico_0",0.00345738835609336,0.00440653505698751,0.0672710424966173,0.0806372554990788,0.196082365791343,0.536556932220927,0.00443783824596181
"Ácido nonanoico_1",0.00345738835609336,0.00440653505698751,0.0672710424966173,0.0806372554990788,0.196082365791343,0.536556932220927,0.00443783824596181
